Variable,Mean,Std,Min,1%,25%,50%,75%,99%,Max,Skewness,Kurtosis,AR(1)
y,0.007058047493403693,0.3238702413960376,-4.509999999999998,-0.9285000000000011,-0.1000000000000014,0.00999999999999801,0.1200000000000045,0.9600000000000064,1.869999999999997,-2.1251110223925487,32.000242020162375,0.06584215681042929
x1,8.487188042485652,0.5598215077085431,7.819403411394169,7.819403411394169,7.905515528596732,8.348466856191525,9.063175911770536,9.163309570226268,9.163309570226268,0.011488687518550526,-1.9243292912339935,0.9990793110207317
x4,-0.0005828648737650052,0.24976522105773202,-2.811466785729152,-0.9478400364602023,-0.06431624094950865,0.007796333799966304,0.07951513864439955,0.7496381697252189,2.15502099003189,-1.2986389323140697,30.935432629217335,-0.011155358048228595
x6,5.2130673903938726e-05,0.037562529526206305,-0.9835661538093553,-0.04952971856069026,-0.007499929689279732,0.0,0.0074999296892796765,0.045773489791148106,0.7326682560454109,-6.760197253615907,411.62783471181723,-0.07616792814170335
x12,-0.0006016413129555038,0.04707563667595028,-0.28529371757989885,-0.10759564674138802,-0.018548819755695334,-0.0017681016548789508,0.0106284025373522,0.15035385997991443,0.7138280387794751,4.2542465025574705,54.995657860356744,0.30408130183139515
x13,-0.0009934071081443333,0.0741246247554994,-1.4159530090301804,-0.1613674203345969,-0.011390201907544917,-0.0011596143072092058,0.009192708699759702,0.17459338949312705,0.6960450422120186,-6.804578730419435,152.52895374921374,0.058981543339515746
x22,-0.0002786903173691671,0.05935602987527705,-1.2095184806289385,-0.10608203122293274,-0.012302909051874256,0.0,0.010963176613679071,0.13037532200465882,1.1785408486305045,-0.6963939926179651,223.5934875156999,0.22453045097237784
x23,-0.0010343205960182324,0.038560904261920555,-1.0092506217198127,-0.07947937727117409,-0.006612253965038284,-0.0001866208029988048,0.006226662327352174,0.06696396781311564,0.25149586713569017,-13.541385305729646,339.9188938726857,0.12454890311836629
x25,0.0006019090010184576,0.03021886059960503,-0.19592873084446386,-0.07005182038788038,-0.013014075668058386,-0.001120063512997982,0.009887914914244872,0.1037929540021112,0.32784325169101636,3.140875099969824,31.064008832674336,0.3440294726963289
x34,-0.037084079098312746,3.106323838413987,-4.703821389746431,-4.363218196435267,-3.1954077696999628,-0.414849315007907,3.1313097938556225,4.471808655899276,4.720500236750004,0.040660235551231286,-1.7093195070345222,0.721086168989539
x35,0.26100907787974575,2.538463598802601,-4.304085378379237,-3.861791925023867,-2.249154032411357,0.7620900855839485,2.623781512757893,4.36299475989626,4.780833066670807,-0.06838618337491637,-1.479576275994175,0.7413953738228768
x36,-0.0006759706171549153,0.30729181733275635,-3.003733894668215,-1.0801241072878298,-0.09264797458312707,0.00661093463593089,0.10995779829595978,0.8537746534404783,2.0062480316633797,-1.114916581921475,15.671646316526896,-0.13213417027811872
x39,-0.00012553571117089306,0.09822562890484793,-0.7216279571367409,-0.2968643970061731,-0.025928236307357744,0.0,0.023886664282183796,0.3070304847711023,1.0260533695803393,1.9272905086671335,35.271708323696934,0.0033475050627676806
x40,-0.002068620980049226,0.09408253475988193,-1.1632931502318138,-0.3063815436766706,-0.02599707155741282,0.0,0.024997396565481424,0.2987841646296043,0.6971423814362373,-1.8596701997484781,28.679579380777643,0.10072459637987519
x42,0.0015006115199414317,0.4729641635081677,-4.637731075850725,-1.121145841081844,-0.24746646154726346,0.0,0.2385479024667274,1.1786985926843054,4.261121156641827,0.18454677538472125,13.641088838673625,0.03476708625931016
x46,2.222659983657766e-05,0.014091298455884749,-0.05046866710801101,-0.04214580431766344,-0.008186455698453887,0.00035263240392868767,0.009005874996405372,0.035253094954840115,0.05221281614314899,-0.20493361510418232,1.7956388181859255,0.6636514716340836
x69,-0.0001829987918068247,0.01846655469437875,-0.05159208952005699,-0.050401402919401136,-0.011832658136613272,-0.0002742721494130018,0.01109592480629537,0.05079403748256678,0.08596040664937421,0.18109884451993244,1.8808124123697274,0.674466192103121
x72,4.639173813070144,0.27600780407430336,3.718056657064138,3.951911179057651,4.444787066318341,4.677577369599091,4.849784226068133,5.159530357229321,5.252405539269601,-0.4377459679791899,-0.3128743431589731,0.7043792447821436
x74,2.7249254090921937e-05,0.09429948250412669,-0.7433773103488628,-0.2802221848205529,-0.03666436027044573,0.0,0.03692885343127372,0.27784586448707027,0.7519184828074259,-0.04393217776757759,11.783839694581545,-0.10181926300086733
x76,0.0007216931776446337,0.4040875254519222,-4.928754265326293,-0.9178224765446973,-0.08621504765963905,0.0,0.08884963398974022,1.0247514171001666,4.3660585863085215,-0.6564533712607398,49.30057369536221,-0.33042019682121826
x77,0.00018394190794343327,0.6425082115670664,-3.324891277487578,-2.2075268862887762,-0.06820547609905714,0.0,0.05719157908838346,2.226327838644814,4.266417742920773,0.14381457362370095,8.342269226686742,-0.1992061835857565
x78,0.0014293358196374156,0.9563960589782359,-5.254051842418195,-3.8742500537514406,-0.1638568769257559,0.0,0.1675166919603166,3.75872526059357,5.701534318287312,0.09219165435029912,11.353344255820968,-0.09713290437743193
x80,-1.4683312856923543e-05,0.06353274378098947,-0.44320550460465924,-0.1934030629323022,-0.029157645973153068,0.0028257487915706037,0.03192881825413152,0.15980816488996316,0.3466495030217631,-0.6399589002936649,6.0017128431139755,0.03707332305754468
x82,-2.762407355726788,2.7409266581284357,-5.7026292975709625,-5.395761871969036,-4.502605637583692,-3.937624957711411,-2.546860709438295,4.123459022300334,4.544664116204649,1.4796321262449448,0.7424533335135943,0.7732092364836937
x83,7.063057041568456e-05,0.0035385117289852513,-0.019714414516717738,-0.008682110302085867,-0.001860293494231724,-7.596810129389953e-05,0.002042716221295343,0.009163070863574447,0.03265569944967739,0.5892502294131541,7.038589814507207,-0.0006684119782277537
x84,9.374665661813921e-05,0.020181346503736673,-0.10394608735747318,-0.04693963886966317,-0.007352465340758826,-0.0008297640893106251,0.0047722065375163936,0.05620816766836064,0.3234440297775063,5.449762145509099,71.69080600607558,0.22521799609389212
x85,0.00036154937448010113,0.24762381531978667,-1.9247190809423,-0.515929379959928,-0.08252578142187715,-0.008160740165532976,0.06369937772288281,0.8362623861963737,2.799902238054691,3.2204078704350825,40.91918442654218,-0.051264359765409245
x86,-0.00037540105915175655,0.5435251451581476,-3.298062054379249,-1.5960272028169251,-0.27698096616571277,0.003961531184764874,0.27566977319173847,1.5141447753321151,3.0690409599761375,0.00669251735815152,4.063227740899244,-0.1746862248418283
x87,0.000592824750360894,1.5332262669054129,-8.142088064290153,-5.721585647464672,-0.19128184047585606,-0.0012039549122484505,0.19604413025866096,5.72809530230216,7.708054077920192,0.009935260947164232,8.978195098337771,-0.24150247996202834
x88,0.34726587355514893,1.4039335823867578,-2.8221892253826066,-2.254449741437598,-0.959196831712912,0.5178191095133993,1.596879417996265,2.632504837378796,2.854132336334094,-0.18988723314126654,-1.2367142067312111,0.6597876745875338
x89,8.488489664871995e-05,0.03180911346752332,-0.3902947762796435,-0.08076886786778166,-0.008391575765594097,0.00013907074958248748,0.008729079278294784,0.08568685783792163,0.3670292393226408,-0.05568000367411474,42.95208265692894,0.2544204433355175
x92,0.23095198428267846,3.4225058028262345,-5.133949041158526,-4.865003667970347,-3.2908448164378954,1.285833675023745,3.5167227375812935,5.042249891810393,5.479305418897694,-0.11215198744826439,-1.661408513839459,0.6977775614401766
x93,0.9719696471571786,3.3298933637514607,-4.609146720704417,-4.345319085991155,-2.9026920210106706,2.6048988338020425,3.879340092608397,5.097578233712143,5.557738761563596,-0.3851352653221942,-1.5786338194702483,0.8001014674821758
x94,0.1066333474472041,2.4537516385688574,-4.641337956323607,-4.05911910051164,-2.369173415709056,0.5347989645563236,2.472080985440695,3.699864788914305,4.076491137890589,-0.13498255113591973,-1.5412061222486815,0.7804889422943607
x95,0.0001356013158684836,0.022859436191183694,-0.13160122199923363,-0.05976107055994871,-0.006242253053284845,-0.0007246969064226005,0.0052926618895657584,0.06056149658893278,0.3348544545489466,3.1272352646825725,46.33607543125303,0.13596391913380218
x96,3.394334716799056e-05,0.03184393883889047,-0.30190870701442074,-0.0859694398961163,-0.008062961600674363,0.00018674601949327484,0.008257966097709173,0.09669842045576495,0.31766963221642164,0.24304387063872634,22.008516709183787,0.1977999038932638
x97,0.012200185387607683,1.2244353656187836,-2.8229311424452606,-2.3616215202691144,-1.0166393102817952,0.027079964747091647,1.0112962253626208,2.2782261819175664,2.6725892603177215,-0.05626179515440412,-1.0302607518641103,-0.03846772533551214
x98,0.00012056079194839178,0.12542036958834463,-0.37630004828488334,-0.3253826233281767,-0.09120496133700638,0.0017610429640240702,0.07376882393513105,0.3260314433024428,0.4360430101436575,-0.05376477868946062,1.0339370544691748,0.677012050351774
c1,-0.0014330549136816382,0.5934582196104107,-4.1197616640495935,-2.083375930236806,-0.17849176297511904,0.004176759280204667,0.18052601349892017,1.8067908121701135,4.517094489165585,0.29029207884296493,13.35852692935601,0.09760325988379638
c2,7.796647856616922e-05,0.01268532740627312,-0.09109917244226651,-0.039331913538913896,-0.00631518659239072,0.0015772715851811725,0.005926129344239861,0.03554164677502152,0.07743003231417234,-0.19869204162529605,5.940852664911913,0.666251170631749
c3,3.4770475304082965e-05,0.09677795483288969,-0.4572793529327681,-0.2598271345660081,-0.051611295239675004,0.00032444988244195727,0.049952981629927784,0.2688154566180897,0.6229956173159099,0.07803899828750822,2.738842610208015,0.06777194635687539
c4,-2.5412998727333555e-05,0.032085858032632614,-0.24230460590666114,-0.08397876418357404,-0.014424129884965775,-0.0005010175289130725,0.013929487805294238,0.09472254360469197,0.20544746145799353,0.2414185759120204,8.718881740457697,0.07189382400142875
c5,-0.016575828031592268,0.5676000909262311,-2.0308658263852997,-1.3305245271244892,-0.38879836118731226,-0.023658433354448838,0.3733247011066615,1.2387741634937508,1.9915768068017425,0.002348967029618811,0.010286412088310382,0.0543797136723264
c6,0.005823085845113819,1.8507503621754553,-7.055744094758214,-5.608166268424949,-0.4474842640777641,-0.012096795940780947,0.4100083728883156,5.841451395688378,7.230537477870679,0.1317137257039795,3.117316566543363,-0.27862116641240386
c7,0.0003865014843627148,1.0829697455043068,-6.362638235177732,-3.9451828517653067,-0.22967733262061696,-0.007104509576872697,0.20581516356501817,4.144488203742702,6.33954894957578,-0.03721082612902705,11.411749417220761,-0.09396234084673992
c8,0.00010630628519028096,0.04580880231295445,-0.6208026205623416,-0.11949728567419617,-0.010314863145587244,-0.00031183707798565496,0.01027434293429915,0.1541424558254236,0.3298935153745411,-2.831344729922424,51.3344793347174,0.2696284156143831
